Quantos convidados?,Terá festa?,Qual será a cidade?,Terá religioso?,Em que época do ano vocês se casarão?,Quais serviços você pretende contratar?,Qual é o orçamento planejado para o casamento?,Como você imagina o estilo do seu casamento?,Em qual período do dia será a cerimônia?,Qual o tipo de local você deseja para o casamento?,"Vocês estão planejando uma lua de mel? Se sim, qual o destino?"
74,Sim,Porto Alegre,Sim,Inverno,"Cabelereira, Bartender, Convites/Material gráfico",13000,Formal,Noite,Religioso,Bali
350,Não,Rio de Janeiro,Não,Inverno,"Fotógrafo/Videomaker, Som e Iluminação",21500,Semi-formal,Noite,Ao ar livre,Maldivas
131,Não,Salvador,Não,Verão,"Celebrante, Entretenimento (DJ, Banda), Doces e Bolo",29000,Casual,Noite,Religioso,Não
463,Não,São Paulo,Não,Primavera,"Bartender, Flores/Decoração",36500,Semi-formal,Tarde,Em ambiente fechado,Bali
297,Não,Salvador,Sim,Inverno,"Som e Iluminação, Cerimonialista, Buffet",27000,Casual,Noite,Não-religioso,Gramado
432,Não,Curitiba,Não,Verão,"Buffet, Salão, Cabelereira, Celebrante, Fotógrafo/Videomaker, Bartender",10500,Semi-formal,Tarde,Não-religioso,Paris
100,Não,Curitiba,Sim,Primavera,"Som e Iluminação, Convites/Material gráfico, Doces e Bolo",24000,Casual,Tarde,Em ambiente fechado,Cancún
444,Sim,Curitiba,Sim,Primavera,"Cerimonialista, Fotógrafo/Videomaker, Celebrante, Convites/Material gráfico, Flores/Decoração, Doces e Bolo",42500,Formal,Tarde,Em ambiente fechado,Gramado
189,Não,Porto Alegre,Não,Inverno,"Flores/Decoração, Buffet",48000,Casual,Noite,Religioso,Paris
477,Não,Belo Horizonte,Sim,Verão,"Salão, Convites/Material gráfico, Celebrante, Entretenimento (DJ, Banda)",5500,Casual,Noite,Religioso,Bali
314,Não,Curitiba,Não,Verão,"Som e Iluminação, Doces e Bolo, Buffet, Bartender, Entretenimento (DJ, Banda)",42000,Casual,Tarde,Religioso,Fernando de Noronha
237,Não,Rio de Janeiro,Sim,Verão,"Cabelereira, Doces e Bolo, Entretenimento (DJ, Banda)",31000,Casual,Noite,Em ambiente fechado,Paris
